IETCR,FTMES,Sampling30,MBFL
1168062,584031,725004,2416680
531720,265860,638064,2126880
1234116,617058,822744,2742480
446272,223136,634176,2113920
2031404,1015702,2886732,9622440
1250928,625464,804168,2680560
3269868,1634934,3603528,12011760
7674640,3837320,3603744,12012480
5373280,2686640,3626964,12089880
