IETCR,FTMES,Sampling30,MBFL
976332,488166,469845,1566150
787440,393720,460305,1534350
387716,193858,339465,1131550
945864,472932,491052,1636840
1259256,629628,600807,2002690
344508,458500,543960,1813200
387716,193858,339465,1131550
787440,393720,460305,1534350
945864,472932,491052,1636840
976332,488166,469845,1566150
