IETCR,FTMES,Sampling30,MBFL
6235944,3117972,9689698,32298992
3757368,1878684,9689213,32297376
11353752,5676876,9690667,32302224
6715632,3357816,9689698,32298992
11833488,5916744,9690667,32302224
9593280,4796640,9689213,32297376
5676876,2838438,9690667,32302224
6875356,3437678,9689455,32298184
13191420,6595710,9689698,32298992
6795580,3397790,9689698,32298992
