IETCR,FTMES,Sampling30,MBFL
1682640,841320,941640,3138800
1510972,755486,618261,2060870
374412,187206,942879,3142930
2022930,1011465,918099,3060330
226200,113100,934206,3114020
41832,20916,925533,3085110
1776360,888180,970317,3234390
