1,2,3,4,5,6,7,8,9
0.0097,0.0777,0.6311,0.0097,0.0097,0.0097,0.0097,0.6456,0.0097
0.0093,0.0467,0.0748,0.0093,0.0561,0.0561,0.0187,0.0748,0.0561
0.1462,0.066,0.0802,0.0802,0.1226,0.0802,0.1509,0.0519,0.1132
0.0095,0.0095,0.119,0.0095,0.0095,0.0095,0.0095,0.2905,0.0095
0.0194,0.0728,0.2524,0.301,0.0874,0.0097,0.1068,0.0485,0.0922
0.0222,0.0222,0.1444,0.0333,0.1556,0.0222,0.0222,0.1556,0.1444
0.0435,0.0435,0.0761,0.0652,0.0435,0.0435,0.0435,0.0435,0.0435
0.0204,0.0306,0.0816,0.0204,0.0306,0.0204,0.0204,0.6224,0.0204
0.0222,0.0333,0.1333,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222
0.0612,0.0816,0.551,0.0612,0.0612,0.0612,0.0612,0.0408,0.0612
0.0227,0.0227,0.1477,0.0227,0.0682,0.0795,0.0227,0.0568,0.0227
0.0204,0.0408,0.4898,0.9796,0.0204,0.0204,0.0204,0.8571,0.0204
0.8696,0.8696,0.8696,0.7174,0.7935,0.6304,0.7935,0.4783,0.8043
0.0217,0.0435,0.2826,0.0435,0.0217,0.0435,0.0217,0.4457,0.0217
0.0319,0.0319,0.1064,0.0319,0.0319,0.0426,0.0426,0.383,0.0213
0.0217,0.0217,0.087,0.1957,0.0217,0.7065,0.0217,0.1087,0.0217
0.0204,0.0204,0.449,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0408,0.0816,0.551,0.0408,0.0408,0.0408,0.0408,0.0204,0.0408
0.0227,0.0227,0.5568,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227
0.0204,0.0408,0.4898,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0204,0.0408,0.5102,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0204,0.0408,0.5102,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0222,0.0222,0.4,0.0222,0.1,0.0222,0.0222,0.8444,0.0222
0.0222,0.0222,0.3556,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222
0.0889,0.1444,0.4,0.0444,0.0889,0.0444,0.0667,0.8444,0.0667
0.9333,0.9333,0.9333,0.8333,0.8333,0.7,0.8667,0.6111,0.9
0.9333,0.9333,0.9333,0.8111,0.8778,0.7444,0.9111,0.6333,0.8444
0.4111,0.4556,0.5778,0.3333,0.3444,0.2667,0.3778,0.2444,0.3778
0.4111,0.4556,0.5778,0.3444,0.3444,0.3222,0.3778,0.2889,0.3333
0.2444,0.2444,0.1444,0.2222,0.2444,0.2,0.2667,0.2444,0.2889
0.2444,0.2333,0.1444,0.2667,0.2667,0.2222,0.2444,0.1556,0.2444
0.0217,0.0217,0.0652,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217
0.0349,0.0349,0.1163,0.093,0.093,0.093,0.0233,0.6047,0.093
0.1591,0.25,0.3523,0.1136,0.0909,0.0682,0.1136,0.875,0.1364
0.1837,0.551,0.7041,0.7857,0.1429,0.7143,0.6122,0.5816,0.8571
0.0408,0.0714,0.0612,0.0816,0.1224,0.0204,0.102,0.8571,0.051
0.03,0.03,0.05,0.03,0.02,0.02,0.04,0.82,0.02
0.04,0.04,0.1,0.75,0.14,0.02,0.73,0.02,0.04
0.0217,0.0978,0.1087,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217
0.2674,0.2442,0.314,0.1628,0.2326,0.1512,0.2209,0.8953,0.2209
0.0222,0.0333,0.1333,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222
