1,2,3,4,5,6,7,8,9
0.0388,0.2476,0.7864,0.0291,0.0097,0.0097,0.0194,0.6456,0.0194
0.1121,0.1121,0.0327,0.0841,0.0748,0.1028,0.1028,0.1308,0.0841
0.2925,0.2972,0.2358,0.8349,0.184,0.1179,0.3868,0.5755,0.1745
0.0095,0.3048,0.5095,0.0095,0.0095,0.0095,0.0095,0.481,0.0095
0.068,0.2379,0.5825,0.466,0.1214,0.0194,0.1456,0.0583,0.0971
0.2444,0.3556,0.0222,0.2778,0.2889,0.1778,0.2222,0.3111,0.4556
0.0217,0.0326,0.0217,0.6087,0.3261,0.3261,0.0217,0.3261,0.0217
0.0306,0.2143,0.2653,0.0306,0.0306,0.0306,0.0714,0.6224,0.0408
0.0222,0.0333,0.0444,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222
0.6327,0.7245,0.6735,0.449,0.5714,0.4694,0.5306,0.3265,0.551
0.0227,0.3068,0.0455,0.0227,0.2273,0.2273,0.0227,0.2273,0.0227
0.1429,0.3061,0.5918,0.9796,0.102,0.102,0.102,0.8571,0.1224
0.8696,0.8696,0.8696,0.7174,0.7935,0.6304,0.7935,0.4783,0.8043
0.0217,0.087,0.2826,0.087,0.0217,0.087,0.0652,0.4457,0.0217
0.0638,0.383,0.234,0.0426,0.0426,0.234,0.2766,0.4255,0.0426
0.0652,0.3696,0.25,0.2609,0.0652,0.7065,0.2826,0.1739,0.0435
0.0408,0.0612,0.6531,0.0204,0.0408,0.1122,0.0714,0.102,0.0408
0.6122,0.7041,0.6531,0.5102,0.551,0.3878,0.5306,0.2449,0.551
0.1364,0.2727,0.5795,0.1364,0.0909,0.1364,0.1136,0.1364,0.1364
0.0612,0.2653,0.5918,0.0408,0.0612,0.0816,0.0612,0.0408,0.0612
0.0408,0.4898,0.6122,0.1224,0.1224,0.0816,0.0408,0.0612,0.1224
0.0204,0.3265,0.5918,0.102,0.1224,0.1224,0.1224,0.102,0.0204
0.0222,0.2889,0.4,0.2222,0.2667,0.0222,0.0222,0.8444,0.2444
0.1111,0.0333,0.3556,0.2222,0.2667,0.0667,0.0667,0.1556,0.1222
0.4222,0.5889,0.4222,0.3333,0.3778,0.3111,0.3333,0.8444,0.3778
0.9333,0.9333,0.9333,0.8333,0.8333,0.7,0.8667,0.6111,0.9
0.9333,0.9333,0.9333,0.8111,0.8778,0.7444,0.9111,0.6333,0.8444
0.0222,0.0222,0.6,0.5333,0.6,0.0222,0.6222,0.3333,0.0222
0.0222,0.0222,0.6,0.5778,0.0222,0.0222,0.5556,0.0222,0.0222
0.2667,0.0444,0.0444,0.4667,0.2222,0.2222,0.2222,0.1556,0.1778
0.2667,0.0444,0.0444,0.2,0.2,0.2,0.2444,0.1111,0.2667
0.1522,0.5109,0.0217,0.4348,0.1087,0.1739,0.1304,0.3478,0.5435
0.0581,0.1163,0.0698,0.186,0.1628,0.1628,0.0233,0.6047,0.186
0.2273,0.3409,0.3523,0.1818,0.1591,0.1136,0.1591,0.875,0.2045
0.0816,0.2449,0.7653,0.7857,0.3265,0.7143,0.0408,0.5816,0.8571
0.5918,0.6939,0.3776,0.4898,0.5918,0.3878,0.5714,0.8571,0.5714
0.16,0.52,0.03,0.18,0.1,0.5,0.18,0.82,0.1
0.23,0.63,0.09,0.73,0.18,0.36,0.71,0.28,0.15
0.0217,0.1522,0.1196,0.0217,0.0217,0.0217,0.0217,0.0652,0.0217
0.2674,0.2674,0.314,0.1628,0.2558,0.1512,0.2209,0.8953,0.2209
0.0222,0.0333,0.0444,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222
