1,2,3,4,5,6,7,8,9
0.0097,0.0777,0.5437,0.0097,0.0097,0.0097,0.0097,0.6456,0.0097
0.0701,0.0701,0.0748,0.0654,0.0514,0.0467,0.0841,0.0654,0.0748
0.0896,0.066,0.0802,0.0425,0.0755,0.0519,0.0943,0.0377,0.0755
0.0095,0.0095,0.119,0.0095,0.0095,0.0095,0.0095,0.2905,0.0095
0.0194,0.0728,0.2524,0.1845,0.0777,0.0097,0.0971,0.0485,0.0825
0.0222,0.0222,0.1444,0.0333,0.1333,0.0222,0.0222,0.1556,0.1222
0.0435,0.0435,0.0761,0.0652,0.0435,0.0435,0.0435,0.0435,0.0435
0.0204,0.0306,0.0816,0.0204,0.0306,0.0204,0.0204,0.6531,0.0204
0.0222,0.0333,0.1333,0.3556,0.0222,0.0222,0.0222,0.0222,0.0222
0.0408,0.0816,0.2653,0.0408,0.0408,0.0408,0.0408,0.0408,0.0408
0.0227,0.0227,0.1477,0.0227,0.0682,0.0795,0.0227,0.0568,0.0227
0.0204,0.0408,0.2653,0.9796,0.0204,0.0204,0.0204,0.8571,0.0204
0.8261,0.8696,0.9674,0.8478,0.913,0.7174,0.8913,0.5652,0.6957
0.0217,0.0435,0.2826,0.0435,0.0217,0.0435,0.0217,0.5,0.0217
0.0319,0.0319,0.1064,0.0319,0.0319,0.0213,0.0213,0.3617,0.0213
0.0217,0.0217,0.087,0.1087,0.0217,0.8043,0.0217,0.1957,0.0217
0.0204,0.0204,0.2653,0.0204,0.0204,0.0204,0.0204,0.2041,0.0204
0.0408,0.0816,0.2653,0.0408,0.0408,0.0408,0.0408,0.0204,0.0408
0.0227,0.0227,0.5568,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227
0.0204,0.0408,0.2653,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0204,0.0408,0.2653,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0204,0.0408,0.2653,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0222,0.0222,0.3778,0.0222,0.1,0.0222,0.0222,0.8444,0.0222
0.0222,0.0222,0.3333,0.0222,0.0222,0.0222,0.0222,0.2222,0.0222
0.0667,0.1222,0.3556,0.0444,0.0667,0.0444,0.0444,0.8444,0.0667
0.9222,0.9222,1,0.7778,0.7889,0.6556,0.8333,0.6222,0.8889
0.9222,0.9222,1,0.8222,0.8444,0.6778,0.8778,0.6667,0.8333
0.3444,0.3667,0.5333,0.2889,0.3,0.2,0.2889,0.2,0.3111
0.3444,0.3667,0.5333,0.2778,0.2778,0.2556,0.2889,0.2667,0.3111
0.2444,0.2222,0.1444,0.2,0.2,0.1556,0.2222,0.2222,0.2444
0.2444,0.2111,0.1444,0.2444,0.5111,0.2,0.2222,0.1333,0.2444
0.0217,0.0217,0.0652,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217
0.0349,0.0349,0.1163,0.093,0.093,0.093,0.0233,0.4884,0.093
0.1591,0.2159,0.3523,0.1136,0.0909,0.0682,0.1136,0.875,0.1364
0.5306,0.551,0.5408,0.7041,0.3878,0.6327,0.6327,0.5102,0.8061
0.0408,0.0714,0.0612,0.0612,0.102,0.0204,0.0816,0.8571,0.051
0.03,0.03,0.05,0.03,0.2,0.08,0.28,0.82,0.3
0.44,0.44,0.42,0.75,0.4,0.22,0.73,0.1,0.32
0.0217,0.0652,0.1087,0.0217,0.0217,0.0217,0.0217,0.0217,0.0217
0.2442,0.2442,0.314,0.1395,0.2093,0.1512,0.2209,0.8953,0.1977
0.0222,0.0333,0.1333,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222
