1,2,3,4,5,6,7,8,9
0.0097,0.0777,0.7573,0.0097,0.0097,0.0097,0.0097,0.6456,0.0097
0.0093,0.0187,0.0748,0.0093,0.0093,0.028,0.0093,0.0187,0.0093
0.1179,0.0943,0.0802,0.1887,0.0991,0.0849,0.1415,0.1179,0.1415
0.0095,0.0095,0.119,0.0095,0.0095,0.0095,0.0095,0.4048,0.0095
0.0194,0.0728,0.2524,0.3883,0.0874,0.0097,0.1068,0.0485,0.0922
0.0222,0.0222,0.1444,0.0333,0.1556,0.0222,0.0222,0.1778,0.1444
0.0435,0.0435,0.0761,0.1087,0.0435,0.0435,0.0435,0.0435,0.0435
0.0204,0.0306,0.0816,0.0204,0.0204,0.0306,0.0306,0.6224,0.0204
0.0222,0.0333,0.1333,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222
0.1939,0.0816,0.5714,0.1224,0.1531,0.102,0.1531,0.102,0.1531
0.0227,0.0227,0.1477,0.0227,0.0682,0.0795,0.0227,0.0568,0.0227
0.0204,0.0408,0.5714,0.9796,0.0204,0.0204,0.0204,0.8571,0.0204
0.8696,0.8696,0.8696,0.7174,0.7935,0.6304,0.7935,0.4783,0.8043
0.0217,0.0435,0.2826,0.0652,0.0217,0.0652,0.0435,0.4457,0.0217
0.0319,0.0319,0.1064,0.0319,0.0319,0.0426,0.0638,0.4255,0.0213
0.0217,0.0217,0.087,0.1522,0.0217,0.7065,0.0652,0.087,0.0217
0.0204,0.0204,0.6327,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.1939,0.0816,0.551,0.1327,0.1837,0.0816,0.1531,0.051,0.1837
0.0227,0.0227,0.5795,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227
0.0204,0.0408,0.5714,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0204,0.0408,0.551,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0204,0.0408,0.5714,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
0.0222,0.0222,0.4,0.0444,0.1222,0.0222,0.0222,0.8444,0.0444
0.0222,0.0222,0.3556,0.0667,0.0667,0.0222,0.0222,0.0444,0.0889
0.0889,0.1444,0.4222,0.0444,0.0889,0.0444,0.0667,0.8444,0.0667
0.9333,0.9333,0.9333,0.8333,0.8333,0.7,0.8667,0.6111,0.9
0.9333,0.9333,0.9333,0.8111,0.8778,0.7444,0.9111,0.6333,0.8444
0.5222,0.4778,0.6,0.4222,0.4111,0.2889,0.4444,0.2667,0.4222
0.5222,0.4778,0.6,0.4333,0.4111,0.3444,0.4222,0.2889,0.4222
0.2444,0.2444,0.1444,0.2444,0.1778,0.1778,0.2222,0.2889,0.2222
0.2444,0.2333,0.1444,0.2222,0.2444,0.2,0.2222,0.1556,0.2444
0.0217,0.0217,0.0652,0.0435,0.0217,0.0217,0.0217,0.0652,0.0652
0.0349,0.0349,0.1163,0.093,0.1163,0.093,0.0233,0.6047,0.1163
0.1818,0.2159,0.3523,0.1136,0.1136,0.0682,0.1364,0.875,0.1591
0.0816,0.5306,0.7653,0.7857,0.0408,0.7143,0.2449,0.5816,0.8571
0.1837,0.0714,0.0612,0.2245,0.2857,0.0816,0.2653,0.8571,0.2041
0.03,0.03,0.05,0.03,0.02,0.06,0.04,0.82,0.02
0.07,0.04,0.1,0.75,0.04,0.02,0.73,0.04,0.05
0.0217,0.0652,0.1087,0.0217,0.0217,0.0217,0.0217,0.0435,0.0217
0.2674,0.2442,0.314,0.1628,0.2326,0.1512,0.2209,0.8953,0.2209
0.0222,0.0333,0.1333,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222
